Nome: RECIFE (CURADO)
Codigo Estacao: 82900
Latitude: -8.05916666
Longitude: -34.95916666
Altitude: 11.3
Situacao: Fechada
Data Inicial: 2008-01-01
Data Final: 2020-08-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;13;85.7;30.358065;27.009032;23.441935;72.604839;
2008-02-29;8;32.3;31.796552;27.693793;23.003448;69.224138;
2008-03-31;15;395.4;30.96129;26.972258;23.154839;77.475806;
2008-04-30;21;314.2;30.436667;26.091034;21.860714;82.206897;
2008-05-31;26;415.7;29.345161;25.5;21.7;84.185484;
2008-06-30;24;391.8;28.096667;24.27;21.086667;86.033333;
2008-07-31;29;374.3;27.190323;23.787097;20.8;85.241935;
2008-08-31;27;294.4;27.412903;23.76129;20.480645;84.854839;
2008-09-30;16;47.6;28.526667;25.328;22.376667;77.975;
2008-10-31;17;53.6;29.3;26.174194;23.077419;74.854839;
2008-11-30;7;16;30.476667;26.906667;23.116667;69.291667;
2008-12-31;6;18.3;31.090323;27.190968;22.951613;68.83871;
2009-01-31;7;85.2;31.093548;27.30129;23.045161;70.016129;
2009-02-28;20;376.1;29.992857;26.532857;23.051852;78.803571;
2009-03-31;15;142.8;31.16129;27.216129;22.874194;75.790323;
2009-04-30;19;351.8;30.396667;26.389655;23.096667;83.408333;
2009-05-31;27;410.1;29.432258;25.809677;23.083871;87.685484;
2009-06-30;22;333;28.473333;25.046667;22.373333;86.375;
2009-07-31;28;386.8;28.27;24.595333;22.013333;85.717742;
2009-08-31;26;290.2;28.377419;24.623871;21.729032;82.290323;
2009-09-30;15;83.5;28.99;25.636;22.406667;77.616667;
2009-10-31;7;16.3;30.393548;26.293548;21.829032;71.35;
2009-11-30;10;49.9;30.834483;26.97931;23.223333;69.982759;
2009-12-31;14;47.8;31.041935;27.372258;23.696774;72.975806;
2010-01-31;22;193.4;30.112903;26.643226;23.296774;79.435484;
2010-02-28;14;45.2;31.296429;27.754286;24.346429;75.973214;
2010-03-31;10;92.7;32.287097;27.906452;23.367742;75.266129;
2010-04-30;21;273.3;31.016667;27.031333;23.406667;82.408333;
2010-05-31;17;114.3;30.332258;26.285806;22.716667;82.967742;
2010-06-30;23;543.9;29.116667;25.344;22.62;85.325;
