Nome: IGUABA GRANDE
Codigo Estacao: 83114
Latitude: -22.84694444
Longitude: -42.18555555
Altitude: 5.6
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;13;137.6;29.829032;24.975484;21.751613;77.790323;
2008-02-29;12;78.9;30.865517;25.835862;22.851724;80.698276;
2008-03-31;9;125.8;30.564516;25.718065;22.587097;79.943548;
2008-04-30;14;142.2;30.7;25.024;21.573333;83.883333;
2008-05-31;7;95.9;27.758065;22.205161;18.470968;79.314516;
2008-06-30;10;55.6;26.343333;21.585333;18.2;78.866667;
2008-07-31;1;4.2;27.096774;20.917419;16.522581;74.040323;
2008-08-31;6;22.8;28.167742;22.791613;19.093548;74.620968;
2008-09-30;15;83.8;26.986667;21.81;18.353333;75.65;
2008-10-31;15;73.4;29.187097;23.785161;20.725806;78.967742;
2008-11-30;22;210.6;28.016667;23.628667;20.57;83.758333;
2008-12-31;18;227.1;28.46129;24.31871;21.66129;83.919355;
2009-01-31;17;171.5;30.590323;26.038065;23.222581;80.959677;
2009-02-28;6;79.2;31.939286;27.009286;23.710714;78.589286;
2009-03-31;11;48.5;31.329032;26.492903;23.16129;78.475806;
2009-04-30;11;100.2;28.533333;24.162;20.693333;82.458333;
2009-05-31;4;32.8;27.874194;23.058065;19.625806;76.927419;
2009-06-30;8;27.8;25.65;20.672667;16.573333;77.258333;
2009-07-31;13;77.9;25.880645;21.481935;18.277419;80.016129;
2009-08-31;7;20.2;26.932258;21.770323;18.290323;77.758065;
2009-09-30;7;35.1;28.77;23.481333;19.906667;77.616667;
2009-10-31;13;155.1;27.825;23.612143;20.992857;83.017857;
2009-11-30;6;132.5;31.83;26.706667;23.123333;76.783333;
2009-12-31;13;340.1;30.767742;26.210968;22.816129;82;
2010-01-31;5;239.3;33.548387;27.888387;24.045161;73.427419;
2010-02-28;2;19.4;34.696429;28.985714;24.739286;67.857143;
2010-03-31;12;176.8;31.393548;26.774194;23.258065;80.808333;
2010-04-30;15;212.9;29.28;24.621333;21.25;81.508333;
2010-05-31;9;62;27.025806;22.725806;19.429032;80.725806;
2010-06-30;10;88.9;25.263333;20.346667;16.57;79.058333;
2010-07-31;6;96.2;26.458065;22.133548;18.983871;78.798387;
2010-08-31;5;20.9;26.190323;21.118065;16.909677;72.483871;
2010-09-30;7;17.6;27.09;22.581333;19.46;74.025862;
2010-10-31;13;71.7;27.487097;23.015484;19.609677;73.346774;
2010-11-30;13;67.9;28.346667;24.224;21.153333;80.85;
2010-12-31;11;160.9;31.06129;26.656129;23.348387;79.991935;
2011-01-31;9;41.2;32.596774;27.449032;23.748387;75.467742;
2011-02-28;0;0;34.292857;28.238571;24.257143;66.883929;
2011-03-31;21;207.9;28.793548;25.40129;23.03871;85.5;
2011-04-30;8;188;29.543333;25.516667;22.493333;78.666667;
2011-05-31;13;82.2;26.296774;21.756774;18.448387;80.580645;
2011-06-30;7;26.1;25.073333;20.891333;17.376667;76.625;
2011-07-31;5;8.3;25.941935;20.991613;17.235484;74.701613;
2011-08-31;7;26.9;27.348387;22.241935;18.483871;74.306452;
2011-09-30;4;18.6;26.16;21.471333;18.1;70.491667;
2011-10-31;12;79.8;27.454839;23.023871;20.009677;77.25;
2011-11-30;13;120.1;27.543333;22.954667;19.753333;75.2;
2011-12-31;15;109.7;29.193548;24.669032;21.351613;80.548387;
2012-01-31;14;193.3;29.577419;25.060645;22.054839;80.201613;
2012-02-29;1;3.5;32.537931;27.026207;22.882759;70.431034;
2012-03-31;9;75.4;31.835484;26.381935;22.480645;75.766129;
2012-04-30;4;16.3;29.993333;25.463333;21.886667;78.475;
2012-05-31;12;103;26.864516;22.135484;18.587097;81.024194;
2012-06-30;11;115.6;26.886667;22.781333;19.53;80.291667;
2012-07-31;7;27.8;26.703333;21.94;18.248276;76.741379;
2012-08-31;15;44.5;26.454839;21.871613;18.996774;77.266129;
2012-09-30;7;108;27.593333;22.254667;18.52;73.441667;
2012-10-31;5;27.8;29.46129;24.316129;20.954839;75.290323;
2012-11-30;17;102.3;27.88;23.838;21.27;82.191667;
2012-12-31;5;45.4;33.606452;27.939355;24.083871;73.596774;
2013-01-31;15;135.9;31.232258;26.266452;22.841935;77.274194;
2013-02-28;null;117.7;32.585714;27.385714;23.914286;73.776786;
2013-03-31;null;183.8;30.503226;26.105806;22.935484;80.306452;
2013-04-30;null;34.9;28.656667;23.986;20.34;78.558333;
2013-05-31;null;37.6;27.554839;22.745806;19.254839;76.233871;
2013-06-30;null;32.8;27.016667;22.642;19.376667;78.875;
2013-07-31;null;61.6;26.029032;21.183871;17.564516;76.846774;
2013-08-31;null;45.2;27.248387;21.899355;17.780645;73.701613;
2013-09-30;null;64.5;28.02;22.978;19.673333;75.083333;
2013-10-31;null;62.3;27.506667;23.137333;20.103333;76.120968;
2013-11-30;null;242.7;28.426667;24.234667;21.116667;78.275;
2013-12-31;null;194;29.519355;25.672903;22.651613;81.072581;
2014-01-31;null;13.7;33.680645;27.474839;23.790323;72.354839;
2014-02-28;null;22.6;33.514286;27.797143;24.153571;68.196429;
2014-03-31;null;49.9;31.603226;26.574194;23.235484;74.241935;
2014-04-30;null;114.5;29.186667;24.453333;21.406667;79.425;
2014-05-31;null;86.7;27.212903;22.510323;19.077419;80.08871;
2014-06-30;null;59.8;27.043333;22.374;18.963333;79.783333;
2014-07-31;null;74.8;25.374194;21.265806;18.448387;78.080645;
2014-08-31;null;27.8;26.125806;21.150323;17.554839;76.064516;
2014-09-30;null;4.8;27.96;22.901333;19.52;71.225;
2014-10-31;null;41.8;28.493548;23.336774;19.735484;71.104839;
2014-11-30;null;44.5;29.66;24.860667;21.553333;73.508333;
2014-12-31;null;70;32.645161;27.013548;23.096774;70.879032;
2015-01-31;null;0;34.96129;28.372258;24.051613;65.903226;
2015-02-28;null;19.2;34.167857;27.74;23.760714;71.464286;
2015-03-31;null;79.3;31.929032;26.872258;23.296774;76.177419;
2015-04-30;null;60.3;29.203333;24.694;21.393333;77.791667;
2015-05-31;null;62.7;26.912903;22.691613;19.596774;76.08871;
2015-06-30;null;24.2;27.056667;22.18;18.49;75.091667;
