Nome: PEDRA AZUL
Codigo Estacao: 83393
Latitude: -16.00944444
Longitude: -41.2811111
Altitude: 647.97
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;9;154.4;30.473333;23.768;19.512903;72.451613;
2008-02-29;9;177.6;null;null;19.831034;72.155172;
2008-03-31;14;171.9;null;null;19.477419;76.701613;
2008-04-30;2;25.5;null;null;18.93;70.575;
2008-05-31;3;1.9;27.593548;21.216129;15.609677;71.241935;
2008-06-30;4;9.7;25.386667;19.685333;14.746667;75.05;
2008-07-31;7;14.4;25.054839;18.37871;12.335484;71.677419;
2008-08-31;1;.2;27.690323;20.729032;14.522581;59.830645;
2008-09-30;4;34.6;28.77;21.948667;16.133333;61.516667;
2008-10-31;4;3.1;31.332258;24.066452;17.290323;53.596774;
2008-11-30;18;174.4;29.553333;24.250667;20.053333;67.416667;
2008-12-31;14;219.1;28.732258;23.783871;20.322581;73.814516;
2009-01-31;13;250.1;30.2;24.129032;20.212903;74.725806;
2009-02-28;5;7.1;31.085714;24.802143;20.239286;67.883929;
2009-03-31;7;133.6;32.393548;25.52;20.393548;65.370968;
2009-04-30;16;209.9;27.566667;22.846667;19.653333;81.141667;
2009-05-31;10;27.5;25.922581;20.846452;16.780645;77.653226;
2009-06-30;7;22.7;25.91;20.308667;16.466667;78.291667;
2009-07-31;5;14.9;26.474194;19.94;14.993548;73.645161;
2009-08-31;10;32.9;26.606452;20.527742;16.180645;72.024194;
2009-09-30;3;7.3;30.276667;23.388667;17.953333;61.116667;
2009-10-31;12;172.5;30.029032;23.973548;19.309677;68.967742;
2009-11-30;4;122.2;30.906667;24.316;18.74;67.833333;
2009-12-31;10;34.5;31.251613;25.010323;19.806452;66.346774;
2010-01-31;2;10.9;33.058065;25.985806;19.722581;55.572581;
2010-02-28;4;28.8;33.021429;25.741429;19.785714;60.839286;
2010-03-31;19;272.5;30.541935;24.348387;19.458065;77.725806;
2010-04-30;7;85.6;28.966667;23.202667;18.326667;71.9;
2010-05-31;7;47.2;28.374194;22.245161;17.270968;73.282258;
2010-06-30;4;3.7;25.946667;19.249333;12.833333;70.341667;
2010-07-31;8;8;25.245161;19.472258;14.032258;70.443548;
2010-08-31;2;.6;26.525806;19.627742;13.219355;62.064516;
2010-09-30;3;7.7;28.526667;21.532;14.986667;58.783333;
2010-10-31;7;43.8;30.580645;23.79871;17.916129;63.330645;
2010-11-30;15;277;29.473333;23.416;18.158621;73.566667;
2010-12-31;14;237.7;29.941935;23.643226;18.133333;74.975806;
