Nome: IRATI
Codigo Estacao: 83836
Latitude: -25.50277777
Longitude: -50.63749999
Altitude: 881.69
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;18;201.8;25.354839;19.878065;16.493548;87.177419;
2008-02-29;15;105.5;27.196552;20.606897;16.07931;91.543103;
2008-03-31;12;160.3;25.974194;19.580645;15.835484;92.008065;
2008-04-30;15;172.9;23.443333;16.841333;12.756667;93.483333;
2008-05-31;5;79.3;21.283871;13.910968;8.93871;91.516129;
2008-06-30;13;154.4;18.306667;12.221333;8.136667;93.525;
2008-07-31;4;51.8;22.322581;13.933548;8.254839;84.354839;
2008-08-31;13;157.1;21.754839;15.029032;10.541935;79.806452;
2008-09-30;8;81.3;22.146667;14.699333;9.37;75.966667;
2008-10-31;18;316.5;23.454839;17.964516;14.564516;85.717742;
2008-11-30;12;94.5;24.813333;18.67;14.943333;80.591667;
2008-12-31;7;46.8;28.054839;20.428387;15.235484;70.927419;
2009-01-31;16;156.2;26.241935;20.276774;16.274194;81.169355;
2009-02-28;16;150.7;27.646429;21.4;17.632143;83.6875;
2009-03-31;7;55.6;28.125806;20.89871;16.219355;78.669355;
2009-04-30;8;16.3;25.603333;17.834;13.093333;78.825;
2009-05-31;14;87.6;21.63871;15.043871;10.883871;86.201613;
2009-06-30;12;80.5;18.033333;11.212667;6.9;85.333333;
2009-07-31;20;302.5;17.829032;12.721935;9.2;89.072581;
2009-08-31;10;92.6;21.435484;14.403226;9.229032;80.419355;
2009-09-30;18;369.2;21.936667;16.78;13.19;86.266667;
2009-10-31;16;204.8;23.693548;17.692903;14.064516;83.298387;
2009-11-30;17;173.9;28.616667;22.04;17.846667;81.433333;
2009-12-31;16;134;27.190323;21.023226;17.287097;82.604839;
2010-01-31;21;238.1;26.948387;21.551613;18.309677;85.774194;
2010-02-28;14;224.3;27.892857;22.132143;18.503571;83.410714;
2010-03-31;16;174.5;26.867742;20.305806;16.270968;82.387097;
2010-04-30;14;294.6;23.566667;17.357333;13.406667;84;
2010-05-31;12;82.8;19.783871;14.142581;10.403226;87.516129;
2010-06-30;9;74.9;19.593333;12.831333;8.52;85.35;
2010-07-31;9;127.7;20.145161;13.748387;9.519355;84.258065;
2010-08-31;6;69.3;20.948387;13.330323;8.093548;78.169355;
2010-09-30;9;51.6;23.553333;16.512667;11.716667;76.216667;
2010-10-31;15;199.3;22.648387;16.06;11.696774;78.354839;
2010-11-30;9;61.5;26.53;18.854667;13.6;72.166667;
2010-12-31;23;225.8;25.348387;19.963226;16.43871;86;
2011-01-31;19;233.5;28.1;21.789032;18.070968;85.185484;
2011-02-28;23;183.1;27.239286;21.504286;18.507143;87.598214;
2011-03-31;12;97.8;24.954839;19.563226;16.348387;84.016129;
2011-04-30;17;84.6;24.45;17.856667;13.866667;84.383333;
2011-05-31;8;33.1;20.645161;13.818065;9.619355;84.459677;
2011-06-30;16;128.3;18.553333;11.451333;6.57;84.291667;
2011-07-31;9;199.2;20.287097;13.408387;8.864516;83.185484;
2011-08-31;13;374.6;20.664516;14.181935;9.706452;78.983871;
2011-09-30;9;87.5;22.13;14.83;9.913333;78.008333;
2011-10-31;15;227.5;24.345161;17.87871;13.577419;78.225806;
2011-11-30;7;83.9;24.696667;17.840667;12.773333;75.808333;
2011-12-31;14;97.9;26.793548;19.804516;14.690323;75.427419;
2012-01-31;18;204.7;26.835484;20.118065;15.86129;81.419355;
2012-02-29;13;121.9;29.034483;21.735172;17.348276;81.387931;
2012-03-31;8;56.7;27.035484;19.163871;14.145161;77.943548;
2012-04-30;14;214.7;24.183333;17.435333;13.373333;83.25;
2012-05-31;12;112.4;20.448387;14.595484;10.56129;86.959677;
2012-06-30;21;291.1;17.696667;13.207333;10.166667;91.483333;
2012-07-31;14;117.2;19.393548;12.909677;8.432258;85.185484;
2012-08-31;4;12.5;23.541935;15.878065;10.903226;77.677419;
2012-09-30;8;76.6;25.066667;16.438667;10.283333;71.783333;
2012-10-31;15;172.3;25.925806;19.000645;14.254839;79.266129;
2012-11-30;14;69.4;26.57;19.913333;15.406667;76.116667;
2012-12-31;19;192.6;28.783871;22.338065;18.374194;82.741935;
2013-01-31;13;146.7;26.677419;20.176774;15.845161;79.25;
2013-02-28;20;245.2;26.771429;20.902143;17.728571;85.303571;
2013-03-31;null;215.7;24.087097;19.071613;15.774194;86.056452;
2013-04-30;null;105.9;24.276667;16.773333;11.813333;81.275;
2013-05-31;null;85.1;21.019355;14.810968;10.790323;85.895161;
2013-06-30;null;341.5;18.773333;13.942;10.963333;91.341667;
2013-07-31;null;134.4;19.029032;11.819355;7.241935;85.540323;
2013-08-31;null;44.3;21.754839;13.669677;7.993548;74.741935;
2013-09-30;null;206;22.056667;15.334;10.463333;79.391667;
2013-10-31;null;157.6;24.722581;17.890968;12.935484;75.016129;
2013-11-30;null;167.3;25.523333;19.427333;15.023333;77.516667;
2013-12-31;null;68;27.880645;21.289032;16.509677;77.467742;
2014-01-31;null;169.4;28.651613;21.570968;17.325806;81.951613;
2014-02-28;null;148.7;28.792857;21.668571;17.042857;77.25;
2014-03-31;null;160.8;26.503226;20.192903;16.325806;81.645161;
2014-04-30;null;88.3;23.34;18.106;14.913333;85.141667;
2014-05-31;null;123.5;20.019355;14.353548;10.751613;88.516129;
2014-06-30;null;362.3;19.74;14.282;10.88;87.241667;
2014-07-31;null;37.9;19.609677;13.099355;8.619355;83.653226;
2014-08-31;null;42.2;22.512903;14.425806;8.909677;77.951613;
2014-09-30;null;260.2;23.303333;17.089333;13.15;80.991667;
2014-10-31;null;86.4;27.054839;19.323871;14.274194;72.959677;
2014-11-30;null;115.5;27.01;20.105333;15.553333;75.808333;
